image,patch,SIFT,BRISK,ORB,AKAZE
SU_cob_1b2c27d0-8324-4e03-9176-38383d8583ac.jpg,SU_cob,99,48,207,39
SU_cob_dad6bd20-8541-4252-9e14-3b5cc008497d.jpg,SU_cob,90,15,81,25
SU_cob_d98ee7dd-e139-45fe-ba56-b62bc0d574e2.jpg,SU_cob,122,34,150,35
SU_cob_0aa1281b-da87-4468-b70f-4bb9f3acbc85.jpg,SU_cob,464,316,929,122
SU_cob_768b660c-ba25-46eb-9e0c-00ea806922b6.jpg,SU_cob,49,7,62,3
SU_cob_c3c94a44-024a-480a-a5d8-e3a01d1bd442.jpg,SU_cob,53,21,74,16
SU_cob_6bda533c-5e9a-48bf-801d-e32ad36888df.jpg,SU_cob,171,62,273,44
SU_cob_f1b098fa-7ed4-40d4-9b83-107c02dd8699.jpg,SU_cob,47,18,101,17
SU_cob_642d2273-a3b1-4b53-8b0a-ab49a084d773.jpg,SU_cob,368,121,456,55
SU_cob_24b43da8-cc9b-4fd8-ace8-9d367d9c4518.jpg,SU_cob,622,489,1125,186
SU_cob_2038e8e9-0951-47ee-82d2-f3fb0eaf8197.jpg,SU_cob,73,12,49,9
SU_cob_51cfe360-95b7-43f8-86dd-4d4b3ddd0862.jpg,SU_cob,388,186,498,77
SU_cob_60736885-0f12-4605-aaaa-bd6a410c7f48.jpg,SU_cob,22,4,16,2
SU_cob_210324ca-a1f5-47a8-90f8-0d7b92ee644d.jpg,SU_cob,66,41,162,28
SU_cob_56966771-7ac1-4a15-a529-136042cbd778.jpg,SU_cob,149,54,219,30
SU_cob_bf75f6f5-f365-4831-a9ce-2cf065f79f16.jpg,SU_cob,129,49,197,49
SU_cob_df673e8a-1bd8-435b-8496-816bd7a61c28.jpg,SU_cob,106,10,77,12
SU_cob_168777de-80f6-47e2-affe-8c93fb8b545c.jpg,SU_cob,160,68,292,56
SU_cob_36d093bf-3994-44a6-93d8-9dfcc0ba6a84.jpg,SU_cob,214,72,272,47
SU_cob_9b67078f-bea9-420b-9b68-f4b4ae810c97.jpg,SU_cob,168,97,274,51
SU_cob_3bf0c6fc-9347-47a4-828d-b4ba3bdd2216.jpg,SU_cob,104,16,113,25
SU_cob_b6dcb8f9-1737-4bce-887f-c4253de603f7.jpg,SU_cob,263,137,379,61
SU_cob_ef9ef6fa-7ad7-47ef-8c0f-3ff4d449e5b9.jpg,SU_cob,86,18,96,18
SU_cob_4ccfee60-f48e-4f2c-9129-2bebdacc11c4.jpg,SU_cob,22,2,16,3
SU_cob_d2171bd9-1b5b-4ced-beac-a06e12ad6369.jpg,SU_cob,63,24,89,14
SU_cob_b7df22e8-2651-4f3c-9597-e60eccf6c62f.jpg,SU_cob,91,12,63,17
SU_cob_a2852589-b363-49ff-9b4e-c1567ef57926.jpg,SU_cob,106,36,182,16
SU_cob_c0037c8c-3378-4035-8397-845f3266a1a0.jpg,SU_cob,87,7,64,15
SU_cob_072fa9e6-7654-419e-a6c5-56e6387395df.jpg,SU_cob,158,50,231,52
SU_cob_774fd57c-2093-4b28-ac99-4f3afa09f4d5.jpg,SU_cob,254,160,498,95
SU_cob_9122a05d-af51-4041-8b0e-1c6e218a36c3.jpg,SU_cob,382,200,558,57
SU_cob_a4ca3752-1c0b-462f-9615-2b8ee5a63bfc.jpg,SU_cob,525,340,924,99
SU_cob_795252d6-ceed-4654-a585-958523f7f284.jpg,SU_cob,54,9,80,12
SU_cob_e7755869-5ad2-4458-9d03-3c61b85199db.jpg,SU_cob,37,7,142,9
SU_cob_0bd51cb8-8261-4ad0-94c6-3b5ba167ae53.jpg,SU_cob,414,169,471,48
SU_cob_19a10dbd-b84a-424f-aff1-c8ecd1c0bfb1.jpg,SU_cob,95,20,101,16
SU_cob_efdf5fcc-981a-404a-bdc6-8c275a2db20d.jpg,SU_cob,366,223,648,74
SU_cob_1012604d-5c82-4a76-8336-91813a14d715.jpg,SU_cob,81,9,35,18
SU_cob_14a7403a-36cb-41cb-b6d0-a78fd9e7536d.jpg,SU_cob,137,63,240,50
SU_cob_cbf039c8-bcfe-4d8b-9760-72a2fad8ac98.jpg,SU_cob,27,4,16,3
SU_cob_933c2cb9-3ac3-4d83-8a61-82218fbdb455.jpg,SU_cob,56,15,75,25
SU_peb_3b030318-4a1f-4986-8aaf-19d6ea0847ff.jpg,SU_peb,108,27,107,34
SU_peb_8b819221-2b9b-4c21-9109-db29f501b0f5.jpg,SU_peb,63,8,47,23
SU_peb_4db1c81c-06f0-43c6-9e12-1de03cc78e7b.jpg,SU_peb,105,28,104,22
